series,timestamp,value,label
Q_cool [kW],2020-01-01T13:30:00.000Z,13.906746843236066,
Q_heat [kW],2020-01-01T13:30:00.000Z,33.13444169950707,
t_oa_avg [°C],2020-01-01T13:30:00.000Z,14.875000000000004,
t_ra_avg [°C],2020-01-01T13:30:00.000Z,21.544444444444444,
Q_cool [kW],2020-01-01T14:00:00.000Z,10.206303744157252,
Q_heat [kW],2020-01-01T14:00:00.000Z,24.33807380881849,
t_oa_avg [°C],2020-01-01T14:00:00.000Z,13.972222222222221,
t_ra_avg [°C],2020-01-01T14:00:00.000Z,21.477314814814818,
Q_cool [kW],2020-01-01T14:30:00.000Z,6.4689461990079264,
Q_heat [kW],2020-01-01T14:30:00.000Z,18.889292986879266,
t_oa_avg [°C],2020-01-01T14:30:00.000Z,13.388888888888886,
t_ra_avg [°C],2020-01-01T14:30:00.000Z,21.431481481481477,
Q_cool [kW],2020-01-01T15:00:00.000Z,-20.00309004748885,
Q_heat [kW],2020-01-01T15:00:00.000Z,26.46343681173107,
t_oa_avg [°C],2020-01-01T15:00:00.000Z,12.902777777777779,
t_ra_avg [°C],2020-01-01T15:00:00.000Z,21.46527777777778,
Q_cool [kW],2020-01-01T15:30:00.000Z,-18.71327349960378,
Q_heat [kW],2020-01-01T15:30:00.000Z,25.881883101422943,
t_oa_avg [°C],2020-01-01T15:30:00.000Z,11.958333333333336,
t_ra_avg [°C],2020-01-01T15:30:00.000Z,21.45046296296296,
Q_cool [kW],2020-01-01T16:00:00.000Z,-20.394967012701276,
Q_heat [kW],2020-01-01T16:00:00.000Z,32.81443896853376,
t_oa_avg [°C],2020-01-01T16:00:00.000Z,11.402777777777779,
t_ra_avg [°C],2020-01-01T16:00:00.000Z,21.448611111111116,
Q_cool [kW],2020-01-01T16:30:00.000Z,-21.045596974933467,
Q_heat [kW],2020-01-01T16:30:00.000Z,31.72209487148849,
t_oa_avg [°C],2020-01-01T16:30:00.000Z,11.38888888888889,
t_ra_avg [°C],2020-01-01T16:30:00.000Z,21.420833333333334,
Q_cool [kW],2020-01-01T17:00:00.000Z,-19.500053447847083,
Q_heat [kW],2020-01-01T17:00:00.000Z,27.139380875843695,
t_oa_avg [°C],2020-01-01T17:00:00.000Z,10.861111111111109,
t_ra_avg [°C],2020-01-01T17:00:00.000Z,21.40138888888888,
Q_cool [kW],2020-01-01T17:30:00.000Z,-17.157922505391433,
Q_heat [kW],2020-01-01T17:30:00.000Z,27.22875876622483,
t_oa_avg [°C],2020-01-01T17:30:00.000Z,11.166666666666666,
t_ra_avg [°C],2020-01-01T17:30:00.000Z,21.394444444444442,
Q_cool [kW],2020-01-01T18:00:00.000Z,-18.807306277895407,
Q_heat [kW],2020-01-01T18:00:00.000Z,40.3372068834077,
t_oa_avg [°C],2020-01-01T18:00:00.000Z,10.958333333333334,
t_ra_avg [°C],2020-01-01T18:00:00.000Z,21.379166666666663,
Q_cool [kW],2020-01-01T18:30:00.000Z,-18.075563781525677,
Q_heat [kW],2020-01-01T18:30:00.000Z,32.166879235965155,
t_oa_avg [°C],2020-01-01T18:30:00.000Z,10.972222222222221,
t_ra_avg [°C],2020-01-01T18:30:00.000Z,21.362962962962957,
Q_cool [kW],2020-01-01T19:00:00.000Z,-18.09714490271209,
Q_heat [kW],2020-01-01T19:00:00.000Z,33.40307342746629,
t_oa_avg [°C],2020-01-01T19:00:00.000Z,10.666666666666668,
t_ra_avg [°C],2020-01-01T19:00:00.000Z,21.442592592592593,
Q_cool [kW],2020-01-01T19:30:00.000Z,-18.763454777302076,
Q_heat [kW],2020-01-01T19:30:00.000Z,34.723836684918844,
t_oa_avg [°C],2020-01-01T19:30:00.000Z,11.013888888888891,
t_ra_avg [°C],2020-01-01T19:30:00.000Z,21.363888888888887,
Q_cool [kW],2020-01-01T20:00:00.000Z,-18.796220781666705,
Q_heat [kW],2020-01-01T20:00:00.000Z,34.082668272574445,
t_oa_avg [°C],2020-01-01T20:00:00.000Z,10.638888888888893,
t_ra_avg [°C],2020-01-01T20:00:00.000Z,21.35601851851852,
Q_cool [kW],2020-01-01T20:30:00.000Z,-16.508116455280717,
Q_heat [kW],2020-01-01T20:30:00.000Z,37.10804202320178,
t_oa_avg [°C],2020-01-01T20:30:00.000Z,10.472222222222221,
t_ra_avg [°C],2020-01-01T20:30:00.000Z,21.35138888888889,
Q_cool [kW],2020-01-01T21:00:00.000Z,-18.92168528837302,
Q_heat [kW],2020-01-01T21:00:00.000Z,47.770628803164804,
t_oa_avg [°C],2020-01-01T21:00:00.000Z,10.111111111111112,
t_ra_avg [°C],2020-01-01T21:00:00.000Z,21.34351851851852,
Q_cool [kW],2020-01-01T21:30:00.000Z,-18.718874583927498,
Q_heat [kW],2020-01-01T21:30:00.000Z,41.63968679410033,
t_oa_avg [°C],2020-01-01T21:30:00.000Z,10.222222222222221,
t_ra_avg [°C],2020-01-01T21:30:00.000Z,21.362962962962964,
Q_cool [kW],2020-01-01T22:00:00.000Z,-17.576061550650557,
Q_heat [kW],2020-01-01T22:00:00.000Z,49.242256659687804,
t_oa_avg [°C],2020-01-01T22:00:00.000Z,9.736111111111114,
t_ra_avg [°C],2020-01-01T22:00:00.000Z,21.325462962962963,
Q_cool [kW],2020-01-01T22:30:00.000Z,-15.156416951848264,
Q_heat [kW],2020-01-01T22:30:00.000Z,51.54589701440145,
t_oa_avg [°C],2020-01-01T22:30:00.000Z,9.888888888888888,
t_ra_avg [°C],2020-01-01T22:30:00.000Z,21.366203703703697,
Q_cool [kW],2020-01-01T23:00:00.000Z,-19.257825165223338,
Q_heat [kW],2020-01-01T23:00:00.000Z,48.70916902988111,
t_oa_avg [°C],2020-01-01T23:00:00.000Z,10.541666666666666,
t_ra_avg [°C],2020-01-01T23:00:00.000Z,21.313425925925927,
Q_cool [kW],2020-01-01T23:30:00.000Z,-14.669128185904592,
Q_heat [kW],2020-01-01T23:30:00.000Z,38.57788374493666,
t_oa_avg [°C],2020-01-01T23:30:00.000Z,10.250000000000002,
t_ra_avg [°C],2020-01-01T23:30:00.000Z,21.291203703703697,
Q_cool [kW],2020-01-02T00:00:00.000Z,-14.9680167432231,
Q_heat [kW],2020-01-02T00:00:00.000Z,48.24714650191333,
t_oa_avg [°C],2020-01-02T00:00:00.000Z,10.05555555555556,
t_ra_avg [°C],2020-01-02T00:00:00.000Z,21.302777777777774,
Q_cool [kW],2020-01-02T00:30:00.000Z,-15.799250916017535,
Q_heat [kW],2020-01-02T00:30:00.000Z,50.086654334266676,
t_oa_avg [°C],2020-01-02T00:30:00.000Z,9.98611111111111,
t_ra_avg [°C],2020-01-02T00:30:00.000Z,21.28472222222222,
Q_cool [kW],2020-01-02T01:00:00.000Z,-15.536606512506088,
Q_heat [kW],2020-01-02T01:00:00.000Z,47.684886972888144,
t_oa_avg [°C],2020-01-02T01:00:00.000Z,9.736111111111114,
t_ra_avg [°C],2020-01-02T01:00:00.000Z,21.28703703703703,
Q_cool [kW],2020-01-02T01:30:00.000Z,-16.801360049817212,
Q_heat [kW],2020-01-02T01:30:00.000Z,50.85502105973853,
t_oa_avg [°C],2020-01-02T01:30:00.000Z,9.777777777777775,
t_ra_avg [°C],2020-01-02T01:30:00.000Z,21.260648148148146,
Q_cool [kW],2020-01-02T02:00:00.000Z,-16.46705260155467,
Q_heat [kW],2020-01-02T02:00:00.000Z,54.340952609668115,
t_oa_avg [°C],2020-01-02T02:00:00.000Z,9.722222222222221,
t_ra_avg [°C],2020-01-02T02:00:00.000Z,21.19166666666667,
Q_cool [kW],2020-01-02T02:30:00.000Z,-16.10206951622319,
Q_heat [kW],2020-01-02T02:30:00.000Z,50.968187910155194,
t_oa_avg [°C],2020-01-02T02:30:00.000Z,9.680555555555554,
t_ra_avg [°C],2020-01-02T02:30:00.000Z,21.164814814814815,
Q_cool [kW],2020-01-02T03:00:00.000Z,-16.2718351277993,
Q_heat [kW],2020-01-02T03:00:00.000Z,55.843747046155165,
t_oa_avg [°C],2020-01-02T03:00:00.000Z,9.611111111111109,
